# 时间戳 X坐标 Y坐标 朝向角度 线速度 角速度 障碍物距离 计算时间
# 单位:  秒   米    米    弧度   米/秒  弧度/秒   米      秒
1753259115.471427 -0.000282 0.000000 -0.000092 0.000000 0.000000 0.764495 0.100000
1753259115.570697 -0.000284 0.000000 -0.000092 0.000000 0.000000 0.764371 0.100000
1753259115.670789 -0.000286 0.000000 -0.000093 0.199979 -0.010533 0.765806 0.100000
1753259115.770794 0.001175 -0.000001 -0.001087 0.199979 -0.010533 0.766428 0.100000
1753259115.870885 0.005634 -0.000008 -0.002125 0.228990 -0.020909 0.773852 0.100000
1753259115.971075 0.013093 -0.000032 -0.004144 0.228990 -0.020909 0.786656 0.100000
1753259116.071124 0.023551 -0.000087 -0.006212 0.288987 -0.010145 0.800712 0.100000
1753259116.172648 0.037010 -0.000178 -0.007259 0.288987 -0.010145 0.821567 0.100000
1753259116.272137 0.053468 -0.000306 -0.008244 0.310211 0.000000 0.846978 0.100000
1753259116.371305 0.072925 -0.000467 -0.008242 0.310211 0.000000 0.875637 0.100000
1753259116.472644 0.095383 -0.000651 -0.008213 0.408982 -0.010227 0.911698 0.100000
1753259116.571660 0.120840 -0.000872 -0.009168 0.408982 -0.010227 0.946905 0.100000
1753259116.671896 0.149297 -0.001148 -0.010202 0.468986 0.000000 0.990730 0.100000
1753259116.771151 0.180755 -0.001472 -0.010321 0.468986 0.000000 1.036837 0.100000
1753259116.871238 0.215212 -0.001828 -0.010321 0.500000 0.000000 1.089560 0.100000
1753259116.971462 0.252667 -0.002214 -0.010260 0.500000 0.000000 1.148452 0.100000
1753259117.071812 0.293119 -0.002627 -0.010157 0.500000 0.000000 1.208535 0.100000
1753259117.171900 0.336573 -0.003066 -0.010090 0.500000 0.000000 1.272722 0.100000
1753259117.271060 0.383028 -0.003536 -0.010139 0.500000 -0.010327 1.316676 0.100000
1753259117.371290 0.432327 -0.004060 -0.011187 0.500000 -0.010327 1.385939 0.100000
1753259117.471538 0.482321 -0.004645 -0.012218 0.500000 -0.000574 1.457643 0.100000
1753259117.571701 0.532312 -0.005258 -0.012212 0.500000 -0.000574 1.531498 0.100000
1753259117.671940 0.582303 -0.005867 -0.012184 0.500000 -0.009456 1.601355 0.100000
1753259117.772137 0.632296 -0.006496 -0.013115 0.500000 -0.009456 1.667365 0.100000
1753259117.871732 0.682290 -0.007180 -0.014206 0.500000 -0.000746 1.736222 0.100000
1753259117.971849 0.732282 -0.007895 -0.014301 0.500000 -0.000746 1.811865 0.100000
1753259118.071832 0.782272 -0.008608 -0.014207 0.500000 -0.009657 1.884542 0.100000
1753259118.172033 0.832263 -0.009335 -0.015010 0.500000 -0.009657 1.951584 0.100000
1753259118.272225 0.882255 -0.010113 -0.016153 0.500000 -0.000059 1.928183 0.100000
1753259118.371348 0.932247 -0.010929 -0.016379 0.500000 -0.000059 1.879723 0.100000
1753259118.472703 0.982237 -0.011746 -0.016273 0.500000 0.000000 1.832279 0.100000
1753259118.572945 1.032224 -0.012555 -0.016087 0.500000 0.000000 1.784550 0.100000
1753259118.673151 1.082215 -0.013359 -0.016118 0.500000 0.000000 1.739210 0.100000
1753259118.773278 1.132206 -0.014170 -0.016313 0.500000 0.000000 1.690770 0.100000
1753259118.873353 1.182198 -0.014988 -0.016367 0.500000 0.000000 1.643122 0.100000
1753259118.973571 1.232187 -0.015802 -0.016209 0.500000 0.000000 1.599047 0.100000
1753259119.073591 1.282175 -0.016608 -0.016068 0.500000 -0.008554 1.565819 0.100000
1753259119.173812 1.332166 -0.017431 -0.016946 0.500000 -0.008554 1.523037 0.100000
1753259119.274016 1.382157 -0.018305 -0.017990 0.500000 -0.000047 1.475028 0.100000
1753259119.373197 1.432146 -0.019209 -0.018065 0.500000 -0.000047 1.426304 0.100000
1753259119.473145 1.482133 -0.020109 -0.017895 0.500000 -0.009176 1.384434 0.100000
1753259119.573365 1.532120 -0.021017 -0.018602 0.500000 -0.009176 1.341226 0.100000
1753259119.673650 1.582109 -0.021973 -0.019673 0.500000 0.000000 1.296494 0.100000
1753259119.773693 1.632098 -0.022967 -0.019949 0.500000 0.000000 1.252912 0.100000
1753259119.873815 1.682084 -0.023963 -0.019850 0.500000 0.000000 1.209847 0.100000
1753259119.974034 1.732069 -0.024951 -0.019675 0.500000 0.000000 1.166394 0.100000
1753259120.073262 1.782056 -0.025933 -0.019661 0.500000 0.000000 1.125400 0.100000
1753259120.173453 1.832044 -0.026920 -0.019840 0.500000 0.000000 1.086480 0.100000
1753259120.273584 1.882033 -0.027915 -0.019937 0.500000 0.000000 1.046039 0.100000
1753259120.373760 1.932020 -0.028909 -0.019805 0.500000 0.000000 1.008828 0.100000
